Cust_ID,Inv_No,Photo_Type,Inv_Date,Amount
16106,43891,SelfTaken.,2013-01-01,29.78
10570,43892,,2013-01-01,32.94
13796,43893,Official,2013-01-01,29.45
10246,43894,School,2013-01-01,23.94
5158,43895,Passport,2013-01-01,23.58
6613,43896,Passport,2013-01-01,22.96
13845,43897,Wedding.,2013-01-01,320.08
13193,43898,Wedding,2013-01-01,324.84
10669,43899,Official.,2013-01-01,29.16
4836,43900,Official,2013-01-01,41.79
4437,43901,School,2013-01-01,26.75
11033,43902,Official,2013-01-01,20.48
10439,43903,SelfTaken.,2013-01-01,30.71
15469,43904,Wedding,2013-01-01,332.18
12231,43905,Passport.,2013-01-01,25.43
7059,43906,,2013-01-01,31.479999999999997
14621,43907,Wedding.,2013-01-01,323.37
12937,43908,Wedding,2013-01-01,323.44
6302,43909,School.,2013-01-01,34.17
3287,43910,Passport.,2013-01-01,26.79
9235,43911,,2013-01-01,33.870000000000005
2729,43912,School,2013-01-01,31.419999999999998
12825,43913,SelfTaken.,2013-01-01,29.46
5550,43914,School,2013-01-01,29.869999999999997
3854,43915,Official,2013-01-01,22.17
8655,43916,Wedding,2013-01-01,345.88
5719,43917,SelfTaken.,2013-01-01,38.14
10443,43918,Engagement.,2013-01-01,331.55
12859,43919,Passport.,2013-01-01,20.14
2934,43920,Wedding,2013-01-01,332.63
12538,43921,School.,2013-01-01,28.96
5580,43922,SelfTaken.,2013-01-01,26.08
15851,43923,School,2013-01-01,45.75
4609,43924,Wedding.,2013-01-01,323.38
12547,43925,Wedding,2013-01-01,333.6
7744,43926,Wedding.,2013-01-01,331.07
5888,43927,Official,2013-01-01,27.13
10290,43928,Engagement,2013-01-01,339.09
3168,43929,Passport,2013-01-01,30.59
3420,43930,Wedding.,2013-01-01,329.61
5873,43931,School.,2013-01-01,21.73
10483,43932,School.,2013-01-01,20.8
4229,43933,Passport,2013-01-01,28.0
13671,43934,SelfTaken,2013-01-01,35.019999999999996
10855,43935,School,2013-01-01,31.9
9919,43936,SelfTaken,2013-01-01,21.4
8565,43937,Engagement,2013-01-01,337.56
16798,43938,School.,2013-01-01,20.689999999999998
14992,43939,Wedding.,2013-01-01,324.57
14016,43940,Engagement.,2013-01-01,320.86
8457,43941,Official,2013-01-01,22.84
5374,43942,School.,2013-01-01,29.21
4959,43943,Passport.,2013-01-01,45.120000000000005
14030,43944,Passport,2013-01-01,31.37
13674,43945,School,2013-01-01,23.17
3247,43946,Wedding.,2013-01-01,339.55
10180,43947,Official.,2013-01-01,25.4
7968,43948,Engagement.,2013-01-01,320.23
8508,43949,Official,2013-01-01,37.79
13503,43950,Passport,2013-01-01,23.0
11452,43951,SelfTaken.,2013-01-01,28.03
5938,43952,School,2013-01-01,25.09
3391,43953,Engagement.,2013-01-01,332.92
8522,43954,Passport.,2013-01-01,28.16
3649,43955,Engagement.,2013-01-01,321.57
3561,43956,SelfTaken,2013-01-01,26.76
7194,43957,Passport.,2013-01-01,27.21
2577,43958,Engagement,2013-01-01,337.18
10178,43959,SelfTaken,2013-01-01,30.78
7721,43960,School,2013-01-01,30.49
16693,43961,SelfTaken,2013-01-01,24.14
4144,43962,Engagement,2013-01-01,327.91
10955,43963,Wedding.,2013-01-01,324.59
9191,43964,Wedding,2013-01-01,325.07
15111,43965,Wedding,2013-01-01,322.9
10069,43966,Engagement.,2013-01-01,320.19
9246,43967,Official,2013-01-01,23.23
3317,43968,SelfTaken.,2013-01-01,25.11
6053,43969,Engagement.,2013-01-01,331.45
12013,43970,Wedding,2013-01-01,326.2
7547,43971,Engagement.,2013-01-01,337.71
8731,43972,Wedding,2013-01-01,336.09
6143,43973,Passport.,2013-01-01,32.019999999999996
12378,43974,Passport.,2013-01-01,38.51
13305,43975,School,2013-01-01,44.89
4856,43976,Passport,2013-01-01,42.39
5976,43977,Official.,2013-01-01,22.88
15010,43978,Wedding,2013-01-01,324.28
5726,43979,Engagement,2013-01-01,324.56
9887,43980,Passport,2013-01-01,31.59
4472,43981,Official,2013-01-01,33.72
4615,43982,Wedding.,2013-01-01,331.5
13278,43983,School,2013-01-01,22.869999999999997
7437,43984,Passport,2013-01-01,29.689999999999998
2815,43985,SelfTaken,2013-01-01,27.08
10404,43986,SelfTaken.,2013-01-01,20.47
11795,43987,SelfTaken.,2013-01-01,27.38
3796,43988,SelfTaken.,2013-01-01,29.89
4608,43989,Engagement.,2013-01-01,332.55
6410,43990,Engagement.,2013-01-01,333.97
7798,43991,SelfTaken.,2013-01-01,20.98
3967,43992,SelfTaken,2013-01-01,26.36
8604,43993,Wedding,2013-01-01,324.33
8355,43994,,2013-01-01,39.72
4342,43995,Passport.,2013-01-01,23.33
7594,43996,Wedding.,2013-01-01,332.73
3765,43997,Official.,2013-01-01,21.46
4682,43998,Passport.,2013-01-01,26.67
8628,43999,SelfTaken,2013-01-01,26.66
10934,44000,Official,2013-01-01,26.33
7920,44001,Official.,2013-01-01,29.8
4602,44002,Engagement.,2013-01-01,325.5
11000,44003,Engagement,2013-01-01,336.94
13242,44004,Passport.,2013-01-01,21.0
14885,44005,Official,2013-01-01,42.31
